Region,Year,Value,Crop
ACEH,2011,1772962,Padi
SUMATERA UTARA,2011,3607403,Padi
SUMATERA BARAT,2011,2279602,Padi
RIAU,2011,535788,Padi
JAMBI,2011,646641,Padi
SUMATERA SELATAN,2011,3384670,Padi
BENGKULU,2011,502552,Padi
LAMPUNG,2011,2940795,Padi
KEP. BANGKA BELITUNG,2011,15211,Padi
KEP. RIAU,2011,1223,Padi
DKI JAKARTA,2011,9516,Padi
JAWA BARAT,2011,11633891,Padi
JAWA TENGAH,2011,9391959,Padi
DI YOGYAKARTA,2011,842934,Padi
JAWA TIMUR,2011,10576543,Padi
BANTEN,2011,1949714,Padi
BALI,2011,858316,Padi
NUSA TENGGARA BARAT,2011,2067137,Padi
NUSA TENGGARA TIMUR,2011,591371,Padi
KALIMANTAN BARAT,2011,1372988,Padi
KALIMANTAN TENGAH,2011,610236,Padi
KALIMANTAN SELATAN,2011,2038309,Padi
KALIMANTAN TIMUR,2011,552616,Padi
KALIMANTAN UTARA,2011,0,Padi
SULAWESI UTARA,2011,596223,Padi
SULAWESI TENGAH,2011,1041789,Padi
SULAWESI SELATAN,2011,4511705,Padi
SULAWESI TENGGARA,2011,491567,Padi
GORONTALO,2011,273921,Padi
SULAWESI BARAT,2011,365683,Padi
MALUKU,2011,87468,Padi
MALUKU UTARA,2011,61430,Padi
PAPUA BARAT,2011,29304,Padi
PAPUA BARAT DAYA,2011,0,Padi
PAPUA,2011,115437,Padi
PAPUA SELATAN,2011,0,Padi
PAPUA TENGAH,2011,0,Padi
PAPUA PEGUNUNGAN,2011,0,Padi
TOTAL,2011,65756904,Padi
ACEH,2012,1788738,Padi
SUMATERA UTARA,2012,3715514,Padi
SUMATERA BARAT,2012,2368390,Padi
RIAU,2012,512152,Padi
JAMBI,2012,625164,Padi
SUMATERA SELATAN,2012,3295247,Padi
BENGKULU,2012,581910,Padi
LAMPUNG,2012,3101455,Padi
KEP. BANGKA BELITUNG,2012,22395,Padi
KEP. RIAU,2012,1323,Padi
DKI JAKARTA,2012,11044,Padi
JAWA BARAT,2012,11271861,Padi
JAWA TENGAH,2012,10232934,Padi
DI YOGYAKARTA,2012,946224,Padi
JAWA TIMUR,2012,12198707,Padi
BANTEN,2012,1865893,Padi
BALI,2012,865553,Padi
NUSA TENGGARA BARAT,2012,2114231,Padi
NUSA TENGGARA TIMUR,2012,698566,Padi
KALIMANTAN BARAT,2012,1300100,Padi
KALIMANTAN TENGAH,2012,755507,Padi
KALIMANTAN SELATAN,2012,2086221,Padi
KALIMANTAN TIMUR,2012,561959,Padi
KALIMANTAN UTARA,2012,0,Padi
SULAWESI UTARA,2012,615062,Padi
SULAWESI TENGAH,2012,1024316,Padi
SULAWESI SELATAN,2012,5003011,Padi
SULAWESI TENGGARA,2012,516291,Padi
GORONTALO,2012,245786,Padi
SULAWESI BARAT,2012,412338,Padi
MALUKU,2012,84271,Padi
MALUKU UTARA,2012,65686,Padi
PAPUA BARAT,2012,30245,Padi
PAPUA BARAT DAYA,2012,0,Padi
PAPUA,2012,138032,Padi
PAPUA SELATAN,2012,0,Padi
PAPUA TENGAH,2012,0,Padi
PAPUA PEGUNUNGAN,2012,0,Padi
TOTAL,2012,69056126,Padi
ACEH,2013,1956940,Padi
SUMATERA UTARA,2013,3727249,Padi
SUMATERA BARAT,2013,2430384,Padi
RIAU,2013,434144,Padi
JAMBI,2013,664535,Padi
SUMATERA SELATAN,2013,3676723,Padi
BENGKULU,2013,622832,Padi
LAMPUNG,2013,3207002,Padi
KEP. BANGKA BELITUNG,2013,28480,Padi
KEP. RIAU,2013,1370,Padi
DKI JAKARTA,2013,10268,Padi
JAWA BARAT,2013,12083162,Padi
JAWA TENGAH,2013,10344816,Padi
DI YOGYAKARTA,2013,921824,Padi
JAWA TIMUR,2013,12049342,Padi
BANTEN,2013,2083608,Padi
BALI,2013,882092,Padi
NUSA TENGGARA BARAT,2013,2193698,Padi
NUSA TENGGARA TIMUR,2013,729666,Padi
KALIMANTAN BARAT,2013,1441876,Padi
KALIMANTAN TENGAH,2013,812652,Padi
KALIMANTAN SELATAN,2013,2031029,Padi
KALIMANTAN TIMUR,2013,439439,Padi
KALIMANTAN UTARA,2013,124724,Padi
SULAWESI UTARA,2013,638373,Padi
SULAWESI TENGAH,2013,1031364,Padi
SULAWESI SELATAN,2013,5035830,Padi
SULAWESI TENGGARA,2013,561361,Padi
GORONTALO,2013,295913,Padi
SULAWESI BARAT,2013,445030,Padi
MALUKU,2013,101835,Padi
MALUKU UTARA,2013,72445,Padi
PAPUA BARAT,2013,29912,Padi
PAPUA BARAT DAYA,2013,0,Padi
PAPUA,2013,169791,Padi
PAPUA SELATAN,2013,0,Padi
PAPUA TENGAH,2013,0,Padi
PAPUA PEGUNUNGAN,2013,0,Padi
TOTAL,2013,71279709,Padi
ACEH,2014,1820062,Padi
SUMATERA UTARA,2014,3631039,Padi
SUMATERA BARAT,2014,2519020,Padi
RIAU,2014,385475,Padi
JAMBI,2014,664720,Padi
SUMATERA SELATAN,2014,3670435,Padi
BENGKULU,2014,593194,Padi
LAMPUNG,2014,3320064,Padi
KEP. BANGKA BELITUNG,2014,23481,Padi
KEP. RIAU,2014,1403,Padi
DKI JAKARTA,2014,7541,Padi
JAWA BARAT,2014,11644899,Padi
JAWA TENGAH,2014,9648104,Padi
DI YOGYAKARTA,2014,919573,Padi
JAWA TIMUR,2014,12397049,Padi
BANTEN,2014,2045883,Padi
BALI,2014,857944,Padi
NUSA TENGGARA BARAT,2014,2116637,Padi
NUSA TENGGARA TIMUR,2014,825728,Padi
KALIMANTAN BARAT,2014,1372695,Padi
KALIMANTAN TENGAH,2014,838207,Padi
KALIMANTAN SELATAN,2014,2094590,Padi
KALIMANTAN TIMUR,2014,426567,Padi
KALIMANTAN UTARA,2014,115620,Padi
SULAWESI UTARA,2014,637927,Padi
SULAWESI TENGAH,2014,1022054,Padi
SULAWESI SELATAN,2014,5426097,Padi
SULAWESI TENGGARA,2014,657617,Padi
GORONTALO,2014,314704,Padi
SULAWESI BARAT,2014,449621,Padi
MALUKU,2014,102761,Padi
MALUKU UTARA,2014,72074,Padi
PAPUA BARAT,2014,27665,Padi
PAPUA BARAT DAYA,2014,0,Padi
PAPUA,2014,196015,Padi
PAPUA SELATAN,2014,0,Padi
PAPUA TENGAH,2014,0,Padi
PAPUA PEGUNUNGAN,2014,0,Padi
TOTAL,2014,70846465,Padi
ACEH,2015,2331046,Padi
SUMATERA UTARA,2015,4044829,Padi
SUMATERA BARAT,2015,2550609,Padi
RIAU,2015,393917,Padi
JAMBI,2015,541486,Padi
SUMATERA SELATAN,2015,4247922,Padi
BENGKULU,2015,578654,Padi
LAMPUNG,2015,3641895,Padi
KEP. BANGKA BELITUNG,2015,27068,Padi
KEP. RIAU,2015,959,Padi
DKI JAKARTA,2015,6361,Padi
JAWA BARAT,2015,11373144,Padi
JAWA TENGAH,2015,11301422,Padi
DI YOGYAKARTA,2015,945136,Padi
JAWA TIMUR,2015,13154967,Padi
BANTEN,2015,2188996,Padi
BALI,2015,853710,Padi
NUSA TENGGARA BARAT,2015,2417392,Padi
NUSA TENGGARA TIMUR,2015,948088,Padi
KALIMANTAN BARAT,2015,1275707,Padi
KALIMANTAN TENGAH,2015,893202,Padi
KALIMANTAN SELATAN,2015,2140276,Padi
KALIMANTAN TIMUR,2015,408782,Padi
KALIMANTAN UTARA,2015,112102,Padi
SULAWESI UTARA,2015,674169,Padi
SULAWESI TENGAH,2015,1015368,Padi
SULAWESI SELATAN,2015,5471806,Padi
SULAWESI TENGGARA,2015,660720,Padi
GORONTALO,2015,331220,Padi
SULAWESI BARAT,2015,461844,Padi
MALUKU,2015,117791,Padi
MALUKU UTARA,2015,75265,Padi
PAPUA BARAT,2015,30219,Padi
PAPUA BARAT DAYA,2015,0,Padi
PAPUA,2015,181769,Padi
PAPUA SELATAN,2015,0,Padi
PAPUA TENGAH,2015,0,Padi
PAPUA PEGUNUNGAN,2015,0,Padi
TOTAL,2015,75397841,Padi
ACEH,2011,168861,Jagung
SUMATERA UTARA,2011,1294645,Jagung
SUMATERA BARAT,2011,471849,Jagung
RIAU,2011,33197,Jagung
JAMBI,2011,25521,Jagung
SUMATERA SELATAN,2011,125688,Jagung
BENGKULU,2011,87362,Jagung
LAMPUNG,2011,1817906,Jagung
KEP. BANGKA BELITUNG,2011,850,Jagung
KEP. RIAU,2011,923,Jagung
DKI JAKARTA,2011,23,Jagung
JAWA BARAT,2011,945104,Jagung
JAWA TENGAH,2011,2772575,Jagung
DI YOGYAKARTA,2011,291596,Jagung
JAWA TIMUR,2011,5443705,Jagung
BANTEN,2011,13863,Jagung
BALI,2011,64606,Jagung
NUSA TENGGARA BARAT,2011,456915,Jagung
NUSA TENGGARA TIMUR,2011,524638,Jagung
KALIMANTAN BARAT,2011,160819,Jagung
KALIMANTAN TENGAH,2011,9208,Jagung
KALIMANTAN SELATAN,2011,99779,Jagung
KALIMANTAN TIMUR,2011,7341,Jagung
KALIMANTAN UTARA,2011,0,Jagung
SULAWESI UTARA,2011,438504,Jagung
SULAWESI TENGAH,2011,161810,Jagung
SULAWESI SELATAN,2011,1420154,Jagung
SULAWESI TENGGARA,2011,67997,Jagung
GORONTALO,2011,605782,Jagung
SULAWESI BARAT,2011,82995,Jagung
MALUKU,2011,13875,Jagung
MALUKU UTARA,2011,26149,Jagung
PAPUA BARAT,2011,2125,Jagung
PAPUA BARAT DAYA,2011,0,Jagung
PAPUA,2011,6885,Jagung
PAPUA SELATAN,2011,0,Jagung
PAPUA TENGAH,2011,0,Jagung
PAPUA PEGUNUNGAN,2011,0,Jagung
TOTAL,2011,17643250,Jagung
ACEH,2012,167285,Jagung
SUMATERA UTARA,2012,1347124,Jagung
SUMATERA BARAT,2012,495497,Jagung
RIAU,2012,31433,Jagung
JAMBI,2012,25571,Jagung
SUMATERA SELATAN,2012,112917,Jagung
BENGKULU,2012,103771,Jagung
LAMPUNG,2012,1760275,Jagung
KEP. BANGKA BELITUNG,2012,967,Jagung
KEP. RIAU,2012,849,Jagung
DKI JAKARTA,2012,6,Jagung
JAWA BARAT,2012,1028653,Jagung
JAWA TENGAH,2012,3041630,Jagung
DI YOGYAKARTA,2012,336608,Jagung
JAWA TIMUR,2012,6295301,Jagung
BANTEN,2012,9819,Jagung
BALI,2012,61873,Jagung
NUSA TENGGARA BARAT,2012,642674,Jagung
NUSA TENGGARA TIMUR,2012,629386,Jagung
KALIMANTAN BARAT,2012,170123,Jagung
KALIMANTAN TENGAH,2012,7947,Jagung
KALIMANTAN SELATAN,2012,112066,Jagung
KALIMANTAN TIMUR,2012,9940,Jagung
KALIMANTAN UTARA,2012,0,Jagung
SULAWESI UTARA,2012,440308,Jagung
SULAWESI TENGAH,2012,141649,Jagung
SULAWESI SELATAN,2012,1515329,Jagung
SULAWESI TENGGARA,2012,78447,Jagung
GORONTALO,2012,644754,Jagung
SULAWESI BARAT,2012,122554,Jagung
MALUKU,2012,18281,Jagung
MALUKU UTARA,2012,25543,Jagung
PAPUA BARAT,2012,2049,Jagung
PAPUA BARAT DAYA,2012,0,Jagung
PAPUA,2012,6393,Jagung
PAPUA SELATAN,2012,0,Jagung
PAPUA TENGAH,2012,0,Jagung
PAPUA PEGUNUNGAN,2012,0,Jagung
TOTAL,2012,19387022,Jagung
ACEH,2013,177842,Jagung
SUMATERA UTARA,2013,1183011,Jagung
SUMATERA BARAT,2013,547417,Jagung
RIAU,2013,28052,Jagung
JAMBI,2013,25690,Jagung
SUMATERA SELATAN,2013,167457,Jagung
BENGKULU,2013,93988,Jagung
LAMPUNG,2013,1760278,Jagung
KEP. BANGKA BELITUNG,2013,783,Jagung
KEP. RIAU,2013,790,Jagung
DKI JAKARTA,2013,0,Jagung
JAWA BARAT,2013,1101998,Jagung
JAWA TENGAH,2013,2930911,Jagung
DI YOGYAKARTA,2013,289580,Jagung
JAWA TIMUR,2013,5760959,Jagung
BANTEN,2013,12038,Jagung
BALI,2013,57573,Jagung
NUSA TENGGARA BARAT,2013,633773,Jagung
NUSA TENGGARA TIMUR,2013,707642,Jagung
KALIMANTAN BARAT,2013,159973,Jagung
KALIMANTAN TENGAH,2013,6217,Jagung
KALIMANTAN SELATAN,2013,107043,Jagung
KALIMANTAN TIMUR,2013,4864,Jagung
KALIMANTAN UTARA,2013,973,Jagung
SULAWESI UTARA,2013,448002,Jagung
SULAWESI TENGAH,2013,139266,Jagung
SULAWESI SELATAN,2013,1250202,Jagung
SULAWESI TENGGARA,2013,67578,Jagung
GORONTALO,2013,669094,Jagung
SULAWESI BARAT,2013,128327,Jagung
MALUKU,2013,11940,Jagung
MALUKU UTARA,2013,29421,Jagung
PAPUA BARAT,2013,2137,Jagung
